STRUC_Easting,STRUC_Northing,STRUC_Elevation,Leapfrog Dip,Leapfrog Dip Direction,Mute Flag
9320.67,5918.71,3811.84,45.374,72.793,M
9318.91,5918.46,3808.21,34.057,56.554,3
9316.49,5918.14,3803.22,46.1,82.349,M
9314.2,5917.83,3798.51,49.241,66.201,M
9312.52,5917.61,3795.05,41.656,59.184,M
9309.34,5917.19,3788.5,37.417,63.355,M
9306.61,5916.82,3782.88,48.579,63.54,3
9302.4,5916.26,3774.22,46.021,56.134,1
9299.59,5915.92,3768.42,41.655,60.074,1
9295.35,5915.45,3759.71,44.557,69.437,M
9388.56,5886.05,3934.68,45.966,88.937,1
9378.36,5884.84,3913.66,61.122,82.893,M
9376,5884.54,3908.81,35.092,114.038,3
9374.75,5884.38,3906.25,9.92,125.425,M
9368.18,5883.46,3892.75,61.12,81.302,M
9354.66,5881.4,3865.09,77.648,93.33,3
9350.21,5880.68,3855.94,69.963,65.68,1
9343.62,5879.55,3842.24,51.171,80.128,M
9342.51,5879.35,3839.95,63.807,101.076,M
9342.11,5879.29,3839.15,51.226,80.074,1
9341.15,5879.12,3837.17,50.427,90.847,M
9341,5879.09,3836.86,61.014,73.496,3
9338.8,5878.7,3832.33,46.24,106.617,M
9336.13,5878.23,3826.86,46.252,84.671,M
9334.66,5877.97,3823.87,46.485,79.938,M
9331.62,5877.43,3817.7,44.705,54.722,1
9329.15,5876.99,3812.69,37.6,40.776,M
9324.62,5876.18,3803.53,46.337,86.853,M
9318.74,5875.12,3791.7,55.341,94.686,M
9315.59,5874.55,3785.37,60.781,92.79,M
9313.77,5874.22,3781.71,51.589,85.174,M
9388.09,5890.18,3894.49,35.715,206.055,3
9385.4,5892.12,3869.41,43.078,188.274,M
9384.94,5892.46,3865.1,44.2,179.268,M
9381.27,5894.86,3832.19,51.003,155.364,3
9380.8,5895.11,3828.23,41.424,148.702,M
9380.37,5895.35,3824.51,52.369,131.599,1
9379.13,5896,3814.05,40.469,155.702,1
